    Ticket_ID,Month,Region,Network_Type,Issue_Type,Priority,Service_Status,Response_Time_hrs,Resolution_Time_hrs,CSAT_Rating
    TKT-0001,Jul,West Zone,Broadband,No Signal,High,Resolved,7.34,25.14,3.74
    TKT-0002,Jun,Central Zone,Mobile,Billing Error,Medium,In Progress,5.01,64.62,3.44
    TKT-0003,Jan,West Zone,Mobile,Service Outage,High,SLA Breached,5.35,41.59,4.2
    TKT-0004,Dec,East Zone,Landline,Billing Error,High,Escalated,17.9,61.92,3.11
    TKT-0005,Sep,South Zone,Landline,Slow Internet,Medium,In Progress,10.78,21.58,4.33
    TKT-0006,Dec,West Zone,Broadband,No Signal,Medium,Resolved,8.88,52.01,3.92
    TKT-0007,Feb,South Zone,Landline,Service Outage,High,Escalated,17.63,50.12,3.07
    TKT-0008,Aug,West Zone,Broadband,Service Outage,High,SLA Breached,16.21,53.19,3.35
    TKT-0009,Aug,South Zone,Broadband,Billing Error,High,Resolved,9.44,27.7,4.08
    TKT-0010,Jan,West Zone,Landline,No Signal,Low,Resolved,15.67,65.18,3.21
    TKT-0011,Nov,Central Zone,Mobile,Installation Delay,High,SLA Breached,17.95,59.11,3.26
    TKT-0012,Jul,Central Zone,TV,Billing Error,Medium,Escalated,13.42,42.57,3.68
    TKT-0013,Mar,North Zone,Broadband,Installation Delay,Low,Escalated,8.84,20.86,4.39
    TKT-0014,Dec,Central Zone,TV,Slow Internet,High,SLA Breached,15.43,32.4,3.59
    TKT-0015,Jul,Central Zone,TV,No Signal,High,SLA Breached,19.14,59.08,2.85
    TKT-0016,Oct,Central Zone,Mobile,Slow Internet,High,In Progress,11.85,32.77,3.75
    TKT-0017,Apr,East Zone,Landline,Installation Delay,Low,SLA Breached,10.34,65.68,3.13
    TKT-0018,Sep,West Zone,Broadband,Slow Internet,Low,Escalated,7.47,44.17,4.28
    TKT-0019,May,North Zone,TV,Installation Delay,Low,Escalated,9.85,45.79,4.03
    TKT-0020,Jan,South Zone,Landline,Billing Error,Medium,Escalated,12.46,37.5,3.33
    TKT-0021,Jan,North Zone,TV,Slow Internet,Medium,In Progress,11.17,22.82,3.69
    TKT-0022,Feb,Central Zone,Landline,Installation Delay,Medium,SLA Breached,13.89,27.93,4.27
    TKT-0023,Aug,East Zone,Broadband,Service Outage,High,SLA Breached,19.75,49.69,3.03
    TKT-0024,Sep,West Zone,TV,Service Outage,High,Escalated,13.86,57.74,3.18
    TKT-0025,Mar,South Zone,TV,No Signal,Low,SLA Breached,19.11,48.99,2.85
    TKT-0026,Nov,West Zone,Broadband,Slow Internet,Medium,Escalated,13.12,57.91,3.36
    TKT-0027,Jul,West Zone,Landline,Installation Delay,High,SLA Breached,12.94,35.03,3.69
    TKT-0028,Sep,North Zone,TV,No Signal,Low,SLA Breached,18.31,67.3,2.73
    TKT-0029,Aug,West Zone,TV,Slow Internet,Medium,SLA Breached,14.1,24.56,3.8
    TKT-0030,Feb,South Zone,Mobile,Service Outage,Low,SLA Breached,19.92,38.72,3.57
    TKT-0031,Apr,North Zone,Mobile,Dropped Calls,Low,Escalated,14.86,53.28,3.44
    TKT-0032,Jul,Central Zone,TV,Service Outage,Low,Escalated,16.92,52.05,3.51
    TKT-0033,Dec,North Zone,Broadband,Billing Error,High,SLA Breached,9.21,20.43,4.52
    TKT-0034,Dec,Central Zone,Mobile,Dropped Calls,Medium,Escalated,16.22,73.87,2.81
    TKT-0035,Jan,Central Zone,TV,No Signal,High,SLA Breached,9.42,38.67,4.02
    TKT-0036,Feb,North Zone,Mobile,Service Outage,Medium,Escalated,13.55,28.41,3.59
    TKT-0037,Jun,South Zone,TV,No Signal,Medium,In Progress,9.84,62.27,3.34
    TKT-0038,Jul,Central Zone,Mobile,Installation Delay,Low,In Progress,18.01,73.67,3.09
    TKT-0039,Oct,North Zone,Landline,Dropped Calls,High,SLA Breached,15.53,65.32,3.23
    TKT-0040,Dec,South Zone,Mobile,Service Outage,Low,Resolved,7.33,66.42,3.3
    TKT-0041,Jun,South Zone,Mobile,Service Outage,High,SLA Breached,5.58,30.74,4.81
    TKT-0042,Aug,Central Zone,Landline,Billing Error,High,Escalated,6.28,18.86,4.24
